filename,if_plate_id,position,sample,status,locations,antibody,ensembl_ids,gene_names
/archive/1/1_A1_1_,1,A1,1,35,Golgi apparatus,HPA000992,ENSG00000066455,GOLGA5
/archive/1/1_A1_2_,1,A1,2,35,Golgi apparatus,HPA000992,ENSG00000066455,GOLGA5
/archive/1/1_A3_1_,1,A3,1,35,"Cytosol,Nucleoplasm",HPA002899,ENSG00000183092,BEGAIN
/archive/1/1_A3_2_,1,A3,2,35,"Cytosol,Nucleoplasm",HPA002899,ENSG00000183092,BEGAIN
/archive/1/1_A6_1_,1,A6,1,35,"Endoplasmic reticulum,Nuclear membrane",HPA000609,ENSG00000102119,EMD
/archive/1/1_A6_2_,1,A6,2,35,"Endoplasmic reticulum,Nuclear membrane",HPA000609,ENSG00000102119,EMD
/archive/1/1_A8_1_,1,A8,1,35,Mitochondria,HPA000898,ENSG00000113013,HSPA9
/archive/1/1_A8_2_,1,A8,2,35,Mitochondria,HPA000898,ENSG00000113013,HSPA9
/archive/1/1_B2_1_,1,B2,1,35,Vesicles,HPA004920,ENSG00000196611,MMP1
/archive/1/1_B2_2_,1,B2,2,35,Vesicles,HPA004920,ENSG00000196611,MMP1
/archive/1/1_B3_1_,1,B3,1,35,Cytosol,HPA004924,ENSG00000070669,ASNS
/archive/1/1_B3_2_,1,B3,2,35,Cytosol,HPA004924,ENSG00000070669,ASNS
/archive/1/1_B4_1_,1,B4,1,35,Nucleoplasm,HPA003583,ENSG00000100897,DCAF11
/archive/1/1_B4_2_,1,B4,2,35,Nucleoplasm,HPA003583,ENSG00000100897,DCAF11
/archive/1/1_B7_1_,1,B7,1,35,"Cytosol,Nuclear speckles",HPA003618,ENSG00000102383,ZDHHC15
/archive/1/1_B7_2_,1,B7,2,35,"Cytosol,Nuclear speckles",HPA003618,ENSG00000102383,ZDHHC15
/archive/1/1_C2_1_,1,C2,1,35,Nuclear speckles,HPA004816,ENSG00000197265,GTF2E2
/archive/1/1_C2_2_,1,C2,2,35,Nuclear speckles,HPA004816,ENSG00000197265,GTF2E2
/archive/1/1_C6_1_,1,C6,1,35,,HPA001780,ENSG00000100784,RPS6KA5
/archive/1/1_C6_2_,1,C6,2,35,,HPA001780,ENSG00000100784,RPS6KA5
/archive/1/1_C8_1_,1,C8,1,35,Cytosol,HPA001130,ENSG00000100097,LGALS1
/archive/1/1_C8_2_,1,C8,2,35,Cytosol,HPA001130,ENSG00000100097,LGALS1
/archive/1/1_E1_1_,1,E1,1,35,"Actin filaments,Cytosol,Plasma membrane",HPA002925,ENSG00000196924,FLNA
/archive/1/1_E1_2_,1,E1,2,35,"Actin filaments,Cytosol,Plasma membrane",HPA002925,ENSG00000196924,FLNA
/archive/1/1_E10_1_,1,E10,1,35,Plasma membrane,HPA003326,ENSG00000198087,CD2AP
/archive/1/1_E10_2_,1,E10,2,35,Plasma membrane,HPA003326,ENSG00000198087,CD2AP
/archive/1/1_E6_1_,1,E6,1,35,Cytosol,HPA003198,ENSG00000166226,CCT2
/archive/1/1_E6_2_,1,E6,2,35,Cytosol,HPA003198,ENSG00000166226,CCT2
/archive/1/1_F3_1_,1,F3,1,35,Endoplasmic reticulum,HPA002645,ENSG00000167004,PDIA3
/archive/1/1_F3_2_,1,F3,2,35,Endoplasmic reticulum,HPA002645,ENSG00000167004,PDIA3
/archive/1/1_F4_1_,1,F4,1,35,Endoplasmic reticulum,HPA003230,ENSG00000167004,PDIA3
/archive/1/1_F4_2_,1,F4,2,35,Endoplasmic reticulum,HPA003230,ENSG00000167004,PDIA3
/archive/1/1_F5_1_,1,F5,1,35,"Centriolar satellite,Cytosol,Nucleoplasm",HPA002896,ENSG00000165795,NDRG2
/archive/1/1_F5_2_,1,F5,2,35,"Centriolar satellite,Cytosol,Nucleoplasm",HPA002896,ENSG00000165795,NDRG2
/archive/1/1_G2_1_,1,G2,1,35,Vesicles,HPA000449,ENSG00000091831,ESR1
/archive/1/1_G2_2_,1,G2,2,35,Vesicles,HPA000449,ENSG00000091831,ESR1
/archive/1/1_G7_1_,1,G7,1,35,Mitochondria,HPA001520,ENSG00000110955,ATP5F1B
/archive/1/1_G7_2_,1,G7,2,35,Mitochondria,HPA001520,ENSG00000110955,ATP5F1B
/archive/1/1_H3_1_,1,H3,1,35,Vesicles,HPA003414,ENSG00000090975,PITPNM2
/archive/1/1_H3_2_,1,H3,2,35,Vesicles,HPA003414,ENSG00000090975,PITPNM2
/archive/1/1_H9_1_,1,H9,1,35,Mitochondria,HPA004479,ENSG00000141385,AFG3L2
/archive/1/1_H9_2_,1,H9,2,35,Mitochondria,HPA004479,ENSG00000141385,AFG3L2
/archive/4/4_A11_1_,4,A11,1,35,"Cytosol,Nucleoplasm",HPA003218,ENSG00000107099,DOCK8
/archive/4/4_A11_2_,4,A11,2,35,"Cytosol,Nucleoplasm",HPA003218,ENSG00000107099,DOCK8
/archive/4/4_A4_1_,4,A4,1,35,Mitochondria,HPA003037,ENSG00000100216,TOMM22
/archive/4/4_A4_2_,4,A4,2,35,Mitochondria,HPA003037,ENSG00000100216,TOMM22
/archive/4/4_A5_1_,4,A5,1,35,"Cytosol,Nuclear speckles",HPA005697,ENSG00000188636,RTL6
/archive/4/4_A5_2_,4,A5,2,35,"Cytosol,Nuclear speckles",HPA005697,ENSG00000188636,RTL6
/archive/4/4_B11_1_,4,B11,1,35,Cytosol,HPA003239,ENSG00000120265,PCMT1
/archive/4/4_B11_2_,4,B11,2,35,Cytosol,HPA003239,ENSG00000120265,PCMT1
/archive/4/4_B12_1_,4,B12,1,35,"Cytosol,Plasma membrane",HPA005436,ENSG00000132024,CC2D1A
/archive/4/4_B12_2_,4,B12,2,35,"Cytosol,Plasma membrane",HPA005436,ENSG00000132024,CC2D1A
/archive/4/4_B2_1_,4,B2,1,35,Cytosol,HPA003394,ENSG00000070182,SPTB
/archive/4/4_B2_2_,4,B2,2,35,Cytosol,HPA003394,ENSG00000070182,SPTB
/archive/4/4_B3_1_,4,B3,1,35,"Nucleoli fibrillar center,Nucleoplasm",HPA005832,ENSG00000015133,CCDC88C
/archive/4/4_B3_2_,4,B3,2,35,"Nucleoli fibrillar center,Nucleoplasm",HPA005832,ENSG00000015133,CCDC88C
/archive/4/4_B5_1_,4,B5,1,35,"Cytosol,Plasma membrane",HPA005839,ENSG00000100302,RASD2
/archive/4/4_B5_2_,4,B5,2,35,"Cytosol,Plasma membrane",HPA005839,ENSG00000100302,RASD2
/archive/4/4_C6_1_,4,C6,1,35,"Cytosol,Plasma membrane",HPA000911,ENSG00000102302,FGD1
/archive/4/4_C6_2_,4,C6,2,35,"Cytosol,Plasma membrane",HPA000911,ENSG00000102302,FGD1
/archive/4/4_D1_1_,4,D1,1,35,"Nucleoplasm,Plasma membrane",HPA002569,ENSG00000100802,C14orf93
/archive/4/4_D1_2_,4,D1,2,35,"Nucleoplasm,Plasma membrane",HPA002569,ENSG00000100802,C14orf93
/archive/4/4_D11_1_,4,D11,1,35,"Nucleoplasm,Vesicles",HPA005533,ENSG00000081189,MEF2C
/archive/4/4_D11_2_,4,D11,2,35,"Nucleoplasm,Vesicles",HPA005533,ENSG00000081189,MEF2C
/archive/4/4_D5_1_,4,D5,1,35,"Mitochondria,Nucleoli",HPA006181,ENSG00000185608,MRPL40
/archive/4/4_D5_2_,4,D5,2,35,"Mitochondria,Nucleoli",HPA006181,ENSG00000185608,MRPL40
/archive/4/4_E12_1_,4,E12,1,35,Nuclear speckles,HPA005455,ENSG00000116833,NR5A2
/archive/4/4_E12_2_,4,E12,2,35,Nuclear speckles,HPA005455,ENSG00000116833,NR5A2
/archive/4/4_E2_1_,4,E2,1,35,Cytosol,HPA004701,ENSG00000100577,GSTZ1
/archive/4/4_E2_2_,4,E2,2,35,Cytosol,HPA004701,ENSG00000100577,GSTZ1
/archive/4/4_E3_1_,4,E3,1,35,Cytosol,HPA006034,ENSG00000154001,PPP2R5E
/archive/4/4_E3_2_,4,E3,2,35,Cytosol,HPA006034,ENSG00000154001,PPP2R5E
/archive/4/4_E4_1_,4,E4,1,35,Mitochondria,HPA005548,ENSG00000069998,HDHD5
/archive/4/4_E4_2_,4,E4,2,35,Mitochondria,HPA005548,ENSG00000069998,HDHD5
/archive/4/4_E7_1_,4,E7,1,35,Nucleoplasm,HPA003208,ENSG00000181433,SAGE1
/archive/4/4_E7_2_,4,E7,2,35,Nucleoplasm,HPA003208,ENSG00000181433,SAGE1
/archive/4/4_F1_1_,4,F1,1,35,"Nucleoplasm,Vesicles",HPA002930,ENSG00000100532,CGRRF1
/archive/4/4_F1_2_,4,F1,2,35,"Nucleoplasm,Vesicles",HPA002930,ENSG00000100532,CGRRF1
/archive/4/4_F12_1_,4,F12,1,35,Nucleoplasm,HPA005456,ENSG00000117713,ARID1A
/archive/4/4_F12_2_,4,F12,2,35,Nucleoplasm,HPA005456,ENSG00000117713,ARID1A
/archive/4/4_F2_1_,4,F2,1,35,"Cytosol,Nucleoplasm",HPA005525,ENSG00000100462,PRMT5
