GeneID1	Symbol1	GeneID2	Symbol2
10159	ATP6AP2	2	A2M
56983	POGLUT1	2	A2M
66005	CHID1	2	A2M
145864	HAPLN3	2	A2M
515	ATP5PB	12	SERPINA3
6610	SMPD2	12	SERPINA3
6839	SUV39H1	12	SERPINA3
7070	THY1	12	SERPINA3
10165	SLC25A13	12	SERPINA3
26353	HSPB8	12	SERPINA3
54438	GFOD1	12	SERPINA3
57035	RSRP1	12	SERPINA3
57338	JPH3	12	SERPINA3
84547	PGBD1	12	SERPINA3
6285	S100B	14	AAMP
8641	PCDHGB4	14	AAMP
10076	PTPRU	14	AAMP
79630	C1orf54	14	AAMP
740	MRPL49	16	AARS1
939	CD27	16	AARS1
968	CD68	16	AARS1
4793	NFKBIB	16	AARS1
4879	NPPB	16	AARS1
5191	PEX7	16	AARS1
9392	TGFBRAP1	16	AARS1
9846	GAB2	16	AARS1
11017	SNRNP27	16	AARS1
23038	WDTC1	16	AARS1
25904	CNOT10	16	AARS1
27287	VENTX	16	AARS1
55735	DNAJC11	16	AARS1
55794	DDX28	16	AARS1
56107	PCDHGA9	16	AARS1
57179	KIAA1191	16	AARS1
64854	USP46	16	AARS1
81618	ITM2C	16	AARS1
84108	PCGF6	16	AARS1
84277	DNAJC30	16	AARS1
92935	MARS2	16	AARS1
114885	OSBPL11	16	AARS1
373863	DND1	16	AARS1
3831	KLC1	18	ABAT
1047	CLGN	20	ABCA2
26232	FBXO2	20	ABCA2
11326	VSIG4	22	ABCB7
54940	OCIAD1	22	ABCB7
3030	HADHA	26	AOC1
6382	SDC1	26	AOC1
6383	SDC2	26	AOC1
6385	SDC4	26	AOC1
79012	CAMKV	26	AOC1
147808	ZNF784	26	AOC1
1902	LPAR1	27	ABL2
2077	ERF	27	ABL2
3312	HSPA8	27	ABL2
4690	NCK1	27	ABL2
8440	NCK2	27	ABL2
9529	BAG5	27	ABL2
9532	BAG2	27	ABL2
9610	RIN1	27	ABL2
10174	SORBS3	27	ABL2
11334	TUSC2	27	ABL2
84626	KRBA1	27	ABL2
93436	ARMC6	27	ABL2
112849	L3HYPDH	27	ABL2
146330	FBXL16	27	ABL2
404636	DENND10	27	ABL2
548645	DNAJC25	27	ABL2
58526	MID1IP1	31	ACACA
3959	LGALS3BP	32	ACACB
58526	MID1IP1	32	ACACB
740	MRPL49	34	ACADM
5292	PIM1	34	ACADM
9212	AURKB	34	ACADM
27287	VENTX	34	ACADM
2799	GNS	35	ACADS
3458	IFNG	35	ACADS
8220	ESS2	35	ACADS
55006	TRMT61B	35	ACADS
941	CD80	36	ACADSB
2840	GPR17	36	ACADSB
4277	MICB	36	ACADSB
5292	PIM1	36	ACADSB
9212	AURKB	36	ACADSB
154091	SLC2A12	36	ACADSB
10483	SEC23B	37	ACADVL
50852	TRAT1	37	ACADVL
55794	DDX28	37	ACADVL
81618	ITM2C	37	ACADVL
3155	HMGCL	38	ACAT1
55006	TRMT61B	38	ACAT1
55794	DDX28	38	ACAT1
81618	ITM2C	38	ACAT1
200523	TEX37	38	ACAT1
203068	TUBB	38	ACAT1
939	CD27	39	ACAT2
4879	NPPB	39	ACAT2
5191	PEX7	39	ACAT2
23038	WDTC1	39	ACAT2
27287	VENTX	39	ACAT2
55794	DDX28	39	ACAT2
81618	ITM2C	39	ACAT2
340069	FAM170A	39	ACAT2
345757	FAM174A	39	ACAT2
1047	CLGN	43	ACHE
3956	LGALS1	43	ACHE
8292	COLQ	43	ACHE
79630	C1orf54	43	ACHE
387911	C1QTNF9B	43	ACHE
832	CAPZB	48	ACO1
740	MRPL49	50	ACO2
4938	OAS1	50	ACO2
5191	PEX7	50	ACO2
9846	GAB2	50	ACO2
11017	SNRNP27	50	ACO2
25904	CNOT10	50	ACO2
27287	VENTX	50	ACO2
51649	MRPS23	50	ACO2
55794	DDX28	50	ACO2
81618	ITM2C	50	ACO2
84277	DNAJC30	50	ACO2
114885	OSBPL11	50	ACO2
373863	DND1	50	ACO2
1266	CNN3	51	ACOX1
5913	RAPSN	51	ACOX1
5998	RGS3	51	ACOX1
6610	SMPD2	51	ACOX1
6839	SUV39H1	51	ACOX1
11072	DUSP14	51	ACOX1
26292	MYCBP	51	ACOX1
27287	VENTX	51	ACOX1
55175	KLHL11	51	ACOX1
56940	DUSP22	51	ACOX1
79876	UBA5	51	ACOX1
134285	TMEM171	51	ACOX1
5305	PIP4K2A	52	ACP1
887	CCKBR	53	ACP2
963	CD53	53	ACP2
1047	CLGN	53	ACP2
1235	CCR6	53	ACP2
1901	S1PR1	53	ACP2
1903	S1PR3	53	ACP2
2833	CXCR3	53	ACP2
3354	HTR1E	53	ACP2
3358	HTR2C	53	ACP2
3956	LGALS1	53	ACP2
3958	LGALS3	53	ACP2
7433	VIPR1	53	ACP2
8698	S1PR4	53	ACP2
10960	LMAN2	53	ACP2
23673	STX12	53	ACP2
26232	FBXO2	53	ACP2
51704	GPRC5B	53	ACP2
55194	EVA1B	53	ACP2
55794	DDX28	53	ACP2
56928	SPPL2B	53	ACP2
58477	SRPRB	53	ACP2
1136	CHRNA3	55	ACP3
