antibody,ensembl_ids,gene_names,atlas_name,locations,n_location
HPA040086,ENSG00000094914,AAAS,U-2 OS,Nuclear membrane,1
HPA058815,ENSG00000081760,AACS,U-2 OS,Vesicles,1
HPA037502,ENSG00000109576,AADAT,U-2 OS,"Plasma membrane,Vesicles",2
HPA040174,ENSG00000103591,AAGAB,U-2 OS,"Cytosol,Nuclear speckles",2
HPA017931,ENSG00000115977,AAK1,U-2 OS,"Cytosol,Plasma membrane",2
HPA037919,ENSG00000087884,AAMDC,U-2 OS,Nucleoplasm,1
CAB017717,ENSG00000127837,AAMP,U-2 OS,Microtubules,1
HPA048645,ENSG00000131043,AAR2,U-2 OS,Cytosol,1
HPA068290,ENSG00000205002,AARD,U-2 OS,"Lipid droplets,Mitochondria",2
HPA044223,ENSG00000090861,AARS1,U-2 OS,Cytosol,1
HPA035636,ENSG00000124608,AARS2,U-2 OS,Mitochondria,1
HPA022869,"ENSG00000108825,ENSG00000266967","AARSD1,PTGES3L-AARSD1",U-2 OS,"Cytosol,Nuclear membrane",2
HPA020734,ENSG00000008311,AASS,U-2 OS,"Mitochondria,Vesicles",2
HPA075963,ENSG00000275700,AATF,U-2 OS,"Nucleoli,Nucleoplasm",2
HPA009073,ENSG00000181409,AATK,U-2 OS,Mitochondria,1
HPA041690,ENSG00000183044,ABAT,U-2 OS,Mitochondria,1
HPA057283,ENSG00000165029,ABCA1,U-2 OS,"Nucleoplasm,Vesicles",2
HPA078239,ENSG00000144452,ABCA12,U-2 OS,Plasma membrane,1
HPA063601,ENSG00000179869,ABCA13,U-2 OS,Vesicles,1
HPA042886,ENSG00000107331,ABCA2,U-2 OS,Vesicles,1
HPA007884,ENSG00000167972,ABCA3,U-2 OS,"Cytosol,Nucleoplasm",2
HPA064420,ENSG00000198691,ABCA4,U-2 OS,Endoplasmic reticulum,1
HPA062904,ENSG00000154265,ABCA5,U-2 OS,Nucleoplasm,1
HPA064878,ENSG00000154262,ABCA6,U-2 OS,Nucleoplasm,1
HPA041564,ENSG00000064687,ABCA7,U-2 OS,"Golgi apparatus,Plasma membrane",2
HPA052113,ENSG00000154258,ABCA9,U-2 OS,Endoplasmic reticulum,1
CAB001716,ENSG00000085563,ABCB1,U-2 OS,Plasma membrane,1
HPA019035,ENSG00000073734,ABCB11,U-2 OS,Plasma membrane,1
HPA049395,ENSG00000005471,ABCB4,U-2 OS,"Focal adhesion sites,Nucleoplasm,Plasma membrane",3
HPA046723,ENSG00000115657,ABCB6,U-2 OS,Plasma membrane,1
HPA034982,ENSG00000131269,ABCB7,U-2 OS,Mitochondria,1
HPA045187,ENSG00000197150,ABCB8,U-2 OS,"Mitochondria,Nucleoli,Nucleoplasm",3
HPA035113,ENSG00000150967,ABCB9,U-2 OS,Vesicles,1
HPA002380,ENSG00000103222,ABCC1,U-2 OS,Plasma membrane,1
HPA038105,ENSG00000091262,ABCC6,U-2 OS,Plasma membrane,1
HPA042318,ENSG00000006071,ABCC8,U-2 OS,"Cytosol,Golgi apparatus,Nucleoli",3
HPA007279,ENSG00000069431,ABCC9,U-2 OS,"Cytosol,Nucleoplasm",2
HPA032027,ENSG00000117528,ABCD3,U-2 OS,Peroxisomes,1
HPA036846,ENSG00000164163,ABCE1,U-2 OS,Cytosol,1
HPA017578,ENSG00000204574,ABCF1,U-2 OS,Cytosol,1
